component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
工程造价有老师从事吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpiwlc7fos.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 22:54:06.349152
有公司招实习生吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpulzetscm.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 22:57:36.668659
有公司找实习生吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp9mhxse44.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 22:58:06.954268
有研究房地产经济的老师吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpstxby3u1.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:00:34.358074
有研究房地产经济的人吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpen8hp42_.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:02:36.835062
有研究房地产的人吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpbxjfga2_.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:03:27.684725
是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpkyf80_sr.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:03:47.206665
研究房地产经济的人,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp7dy9mduu.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:06:28.467679
研究房地产经济的人,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpx5k1w876.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:09:45.815684
找实习生的公司,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\teachers\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmphv5e3yre.json,知识库问答,,e35c83beed9e44bfac68a5565a5ed0db,2023-08-03 23:13:38.427238
找实习生的公司,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpud4rby6n.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:18:08.564171
实习生,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp4jrohnr7.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:18:54.017429
从事房地产经济研究的人,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp584wxz71.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:19:40.500901
找实习生的公司,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpg7ug40_p.json,知识库问答,,46f65e6a19d847149d9ba05884eb90ad,2023-08-03 23:20:17.926412
找实习生的公司是？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpuvbomo8p.json,知识库问答,,34a090f563764813b2c1b03eb7dd3583,2023-08-03 23:41:47.854088
有同学在中建科技有限公司华东分公司吗？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp2vfpapq9.json,知识库问答,,34a090f563764813b2c1b03eb7dd3583,2023-08-03 23:42:33.330481
从事房地产经济研究的老师是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpzs_1qmxn.json,知识库问答,,34a090f563764813b2c1b03eb7dd3583,2023-08-03 23:43:42.614017
在中建科技有限公司华东分公司工作的人有吗？如有告诉我学号和姓名,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp6i3u0z5k.json,知识库问答,,34a090f563764813b2c1b03eb7dd3583,2023-08-03 23:44:25.125273
在中建科技有限公司华东分公司工作的人有吗？如有告诉我学号和姓名,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpilckcokk.json,知识库问答,,a23aa9aa43604fe1afb165a61024de3e,2023-08-03 23:45:38.551100
有研究房地产经济的人吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpjrwowz9e.json,知识库问答,,a23aa9aa43604fe1afb165a61024de3e,2023-08-03 23:46:30.259940
告诉我研究房地产经济的人是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpul15cw9i.json,知识库问答,,a23aa9aa43604fe1afb165a61024de3e,2023-08-03 23:46:53.041464
告诉我研究房地产经济的人是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp6ha05j1x.json,知识库问答,,a23aa9aa43604fe1afb165a61024de3e,2023-08-03 23:47:27.971738
研究房地产经济的人是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpqwou1big.json,知识库问答,,535a5b29b58d45a489eff224b0f8f2b9,2023-08-03 23:54:21.011096
研究房地产经济的人是谁,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpd3s1brc7.json,知识库问答,,535a5b29b58d45a489eff224b0f8f2b9,2023-08-03 23:54:45.991362
有人在黑龙江交通发展股份有限公司吗，告诉我名字,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpbsht0r4s.json,知识库问答,,b94965295de640a1ba1c56bb9bc4cd77,2023-08-04 00:15:23.096209
有几家公司？,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\love\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpb5kzxnxt.json,知识库问答,,b94965295de640a1ba1c56bb9bc4cd77,2023-08-04 00:16:35.935237
有就业岗位是人工智能专家的人吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\csv\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmp0r3ilqet.json,知识库问答,,4486ba86c63f440ab6e8d31d1d8feb19,2023-08-04 10:41:50.787408
有人工智能专家的同学吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\csv\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpchxrur4d.json,知识库问答,,4486ba86c63f440ab6e8d31d1d8feb19,2023-08-04 10:44:08.148730
瑞明科技有限公司有人就职吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\csv\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpdxhyu5ne.json,知识库问答,,4486ba86c63f440ab6e8d31d1d8feb19,2023-08-04 10:47:06.078815
瑞明科技有限公司有人在吗,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\knowledge_base\csv\vector_store,C:\Users\11043\Desktop\my_project\langchain_database\langchain-ChatGLM\flagged\component 2\tmpk4h3migv.json,知识库问答,,40ff3c5efb7349c58cf3aeebc3b7954e,2023-08-04 10:54:35.465278
